event,n_circulars,avg_mass,avg_distance,best_far,n_mass_points,n_distance_points,n_far_points
S231119u,10,4.0,4945.667,7.4e-08,1,3,1
S230627c,34,47.333,298.0,3.2e-10,3,9,1
S230807f,11,4.0,6045.0,7.1e-08,1,2,1
S230825k,8,6.0,6179.0,2.4e-09,1,2,1
S231224e,8,12.0,883.5,1.5e-09,1,2,1
S230904n,17,5.5,767.667,2.2e-09,2,3,1
S230729z,7,6.0,1520.5,3.4e-09,1,2,1
