event_id,circular_ids,n_circulars,luminosity_distance_mpc,luminosity_distance_lower_mpc,luminosity_distance_upper_mpc,far_value,far_unit,snr,snr_source,p_bbh,p_bns,p_nsbh,p_terrestrial,source_class,reference_chirp_mass,reference_chirp_mass_low,reference_chirp_mass_high,reference_mass_frame,data_quality_flags,estimated_chirp_mass_msun,estimation_notes
S231213ap,"[35331, 35330]",2,3861.0,2604.0,5118.0,6.3e-10,Hz,N/A,missing,99.0,0.0,1.0,1.0,BBH,N/A,N/A,N/A,N/A,no_reference_chirp_mass,91.26,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230708bi,[34172],1,N/A,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_distance;no_far,N/A,N/A - no luminosity distance extracted
S231001aq,"[34785, 34788, 34792, 34811]",4,1569.0,1104.0,2034.0,5e-09,Hz,N/A,missing,99.0,1.0,1.0,1.0,BBH,N/A,N/A,N/A,N/A,no_reference_chirp_mass,30.97,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S231029ai,[34905],1,61.0,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_far,0.63,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S231020bw,"[34870, 34857, 34872]",3,2620.0,1926.0,3314.0,3.5e-10,Hz,N/A,missing,99.0,1.0,1.0,1.0,BBH,N/A,N/A,N/A,N/A,no_reference_chirp_mass,57.31,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230822bm,"[34530, 34522, 34520]",3,5154.0,3383.0,6925.0,2.6e-08,Hz,N/A,missing,98.0,1.0,1.0,2.0,BBH,N/A,N/A,N/A,N/A,no_reference_chirp_mass,129.07,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230709bi,"[34213, 34175]",2,4364.0,2779.0,5949.0,3.1e-09,Hz,N/A,missing,99.0,1.0,1.0,1.0,BBH,N/A,N/A,N/A,N/A,no_reference_chirp_mass,105.71,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S231110g,"[34976, 34975]",2,1849.0,1316.0,2382.0,1.9e-08,Hz,N/A,missing,97.0,1.0,1.0,3.0,BBH,N/A,N/A,N/A,N/A,no_reference_chirp_mass,37.72,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230805x,"[34359, 34337, 34340]",3,3852.0,2659.0,5045.0,9.2e-09,Hz,N/A,missing,99.0,1.0,1.0,1.0,BBH,N/A,N/A,N/A,N/A,no_reference_chirp_mass,91.01,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230924an,"[34761, 34760, 34768]",3,2358.0,1762.0,2954.0,3.2e-10,Hz,N/A,missing,99.0,1.0,1.0,1.0,BBH,N/A,N/A,N/A,N/A,no_reference_chirp_mass,50.5,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
