event_id,circular_ids,n_circulars,luminosity_distance_mpc,luminosity_distance_lower_mpc,luminosity_distance_upper_mpc,far_value,far_unit,snr,snr_source,p_bbh,p_bns,p_nsbh,p_terrestrial,source_class,reference_chirp_mass,reference_chirp_mass_low,reference_chirp_mass_high,reference_mass_frame,data_quality_flags,estimated_chirp_mass_msun,estimation_notes
S230927be,"[34775, 34778]",2,1056.0,748.0,1364.0,3.2e-10,Hz,N/A,missing,99.0,1.0,1.0,1.0,BBH,N/A,N/A,N/A,N/A,no_reference_chirp_mass,19.26,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S231008ap,"[34807, 34808]",2,3356.0,2237.0,4475.0,1.5e-09,Hz,N/A,missing,99.0,1.0,1.0,1.0,BBH,N/A,N/A,N/A,N/A,no_reference_chirp_mass,77.13,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230608ah,[33941],1,49.0,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_far,0.48,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S231206cc,"[35327, 35298, 35301]",3,1261.0,967.0,1555.0,1.9e-35,Hz,N/A,missing,99.0,1.0,1.0,1.0,BBH,N/A,N/A,N/A,N/A,no_reference_chirp_mass,23.83,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S231028bg,"[34896, 34895]",2,4221.0,3298.0,5144.0,7.6e-31,Hz,N/A,missing,99.0,1.0,1.0,1.0,BBH,N/A,N/A,N/A,N/A,no_reference_chirp_mass,101.57,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230601bf,"[33904, 33903, 33917]",3,3578.0,2580.0,4576.0,1.7e-15,Hz,N/A,missing,99.0,1.0,1.0,1.0,BBH,N/A,N/A,N/A,N/A,no_reference_chirp_mass,83.3,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230602ap,"[33908, 33929]",2,80.0,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_far,0.87,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230806ak,"[34355, 34352]",2,5423.0,3561.0,7285.0,3e-09,Hz,N/A,missing,99.0,1.0,1.0,1.0,BBH,N/A,N/A,N/A,N/A,no_reference_chirp_mass,137.2,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230708t,"[34212, 34194]",2,3010.0,2022.0,3998.0,4.3e-08,Hz,N/A,missing,97.0,1.0,1.0,3.0,BBH,N/A,N/A,N/A,N/A,no_reference_chirp_mass,67.69,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230726b,[34266],1,3.0,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_far,0.02,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230615be,[33977],1,58.0,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_far,0.59,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230911ae,"[34666, 34674]",2,1758.0,1170.0,2346.0,1.9e-12,Hz,N/A,missing,99.0,1.0,1.0,1.0,BBH,N/A,N/A,N/A,N/A,no_reference_chirp_mass,35.5,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230831e,"[34606, 34605]",2,4900.0,2774.0,7026.0,2e-08,Hz,N/A,missing,98.0,1.0,1.0,2.0,BBH,N/A,N/A,N/A,N/A,no_reference_chirp_mass,121.48,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230616s,[33978],1,35.0,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_far,0.32,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230624av,"[34075, 34083]",2,2556.0,1769.0,3343.0,1.3e-08,Hz,N/A,missing,95.0,1.0,1.0,5.0,BBH,N/A,N/A,N/A,N/A,no_reference_chirp_mass,55.63,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230919bj,"[34745, 34739, 34766]",3,1491.0,1089.0,1893.0,3.2e-10,Hz,N/A,missing,99.0,1.0,1.0,1.0,BBH,N/A,N/A,N/A,N/A,no_reference_chirp_mass,29.14,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230706ah,"[34147, 34155]",2,2143.0,1459.0,2827.0,4.3e-08,Hz,N/A,missing,97.0,1.0,1.0,3.0,BBH,N/A,N/A,N/A,N/A,no_reference_chirp_mass,45.03,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230614ac,[33963],1,68.0,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_far,0.72,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230527ch,[33898],1,N/A,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_distance;no_far,N/A,N/A - no luminosity distance extracted
S230531f,[33902],1,47.0,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_far,0.46,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230920al,"[34767, 34741, 34746]",3,3164.0,2241.0,4087.0,3.2e-10,Hz,N/A,missing,99.0,1.0,1.0,1.0,BBH,N/A,N/A,N/A,N/A,no_reference_chirp_mass,71.87,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S231030av,[34911],1,N/A,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_distance;no_far,N/A,N/A - no luminosity distance extracted
S230922q,"[34770, 34756]",2,6653.0,4305.0,9001.0,3.6e-10,Hz,N/A,missing,99.0,1.0,1.0,1.0,BBH,N/A,N/A,N/A,N/A,no_reference_chirp_mass,175.34,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230630bq,"[34127, 34152]",2,1150.0,790.0,1510.0,7.7e-09,Hz,N/A,missing,97.0,1.0,1.0,3.0,BBH,N/A,N/A,N/A,N/A,no_reference_chirp_mass,21.33,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230618at,[34016],1,37.0,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_far,0.35,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230620ad,[34050],1,59.0,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_far,0.6,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230715bw,"[34600, 34219]",2,N/A,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_distance;no_far,N/A,N/A - no luminosity distance extracted
S230608as,"[33954, 33938, 33943]",3,3447.0,2368.0,4526.0,1.4e-10,Hz,N/A,missing,99.0,1.0,1.0,1.0,BBH,N/A,N/A,N/A,N/A,no_reference_chirp_mass,79.65,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230810af,[34378],1,N/A,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_distance;no_far,N/A,N/A - no luminosity distance extracted
S230617ba,[34000],1,57.0,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_far,0.58,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S240109a,"[35502, 35550, 35509]",3,1529.0,1014.0,2044.0,7.3e-09,Hz,N/A,missing,99.0,1.0,1.0,1.0,BBH,N/A,N/A,N/A,N/A,no_reference_chirp_mass,30.03,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230616j,[33975],1,71.0,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_far,0.75,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230708cf,"[34173, 34190]",2,2056.0,1448.0,2664.0,1.6e-08,Hz,N/A,missing,99.0,1.0,1.0,1.0,BBH,N/A,N/A,N/A,N/A,no_reference_chirp_mass,42.84,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S231005j,"[34809, 34799, 34800]",3,6214.0,4278.0,8150.0,3.2e-08,Hz,N/A,missing,98.0,1.0,1.0,2.0,BBH,N/A,N/A,N/A,N/A,no_reference_chirp_mass,161.55,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S231021az,[34871],1,N/A,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_distance;no_far,N/A,N/A - no luminosity distance extracted
S231118an,"[35177, 35149, 35096]",3,1337.0,990.0,1684.0,7.5e-08,Hz,N/A,missing,74.0,0.0,1.4,24.0,BBH,N/A,N/A,N/A,N/A,no_reference_chirp_mass,25.56,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S231205c,[35276],1,3.0,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_far,0.02,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230617aq,[33996],1,48.0,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_far,0.47,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230729z,"[34293, 34302]",2,1546.0,1074.0,2018.0,3.4e-09,Hz,N/A,missing,99.0,1.0,1.0,1.0,BBH,N/A,N/A,N/A,N/A,no_reference_chirp_mass,30.43,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S231108u,"[34967, 34972]",2,2240.0,1648.0,2832.0,3.2e-10,Hz,N/A,missing,99.0,1.0,1.0,1.0,BBH,N/A,N/A,N/A,N/A,no_reference_chirp_mass,47.48,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230914ak,"[34713, 34695, 34692]",3,2676.0,1849.0,3503.0,9e-10,Hz,N/A,missing,99.0,1.0,1.0,1.0,BBH,N/A,N/A,N/A,N/A,no_reference_chirp_mass,58.78,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230619ay,[34032],1,69.0,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_far,0.73,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230617bc,[33997],1,67.0,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_far,0.7,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S231127cg,"[35207, 35202]",2,4425.0,2707.0,6143.0,5.8e-09,Hz,N/A,missing,99.0,1.0,1.0,1.0,BBH,N/A,N/A,N/A,N/A,no_reference_chirp_mass,107.49,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S231231ag,"[35445, 35446]",2,1114.0,757.0,1471.0,8.4e-15,Hz,N/A,missing,99.0,1.0,1.0,1.0,BBH,N/A,N/A,N/A,N/A,no_reference_chirp_mass,20.54,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230918aq,[34728],1,N/A,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_distance;no_far,N/A,N/A - no luminosity distance extracted
S230618r,[34005],1,81.0,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_far,0.88,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230619e,[34017],1,37.0,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_far,0.35,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230917af,"[34755, 34723, 34736, 34759]",4,N/A,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_distance;no_far,N/A,N/A - no luminosity distance extracted
S230704f,"[34140, 34153]",2,2965.0,1987.0,3943.0,2.8e-09,Hz,N/A,missing,99.0,1.0,1.0,1.0,BBH,N/A,N/A,N/A,N/A,no_reference_chirp_mass,66.48,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230605o,"[33913, 33919, 33914]",3,1067.0,734.0,1400.0,4.5e-09,Hz,N/A,missing,99.0,1.0,1.0,1.0,BBH,N/A,N/A,N/A,N/A,no_reference_chirp_mass,19.5,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230608q,[33940],1,55.0,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_far,0.56,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230619aa,[34019],1,36.0,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_far,0.33,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S231014r,"[34816, 34820]",2,2857.0,1954.0,3760.0,1e-08,Hz,N/A,missing,99.0,1.0,1.0,1.0,BBH,N/A,N/A,N/A,N/A,no_reference_chirp_mass,63.58,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230609u,"[33949, 33944, 33950]",3,2799.0,1957.0,3641.0,1e-08,Hz,N/A,missing,96.0,1.0,1.0,4.0,BBH,N/A,N/A,N/A,N/A,no_reference_chirp_mass,62.04,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230613at,[33964],1,41.0,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_far,0.39,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230712a,[34206],1,N/A,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_distance;no_far,N/A,N/A - no luminosity distance extracted
S230617aj,[33993],1,64.0,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_far,0.67,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230723ac,"[34245, 34235]",2,1551.0,1115.0,1987.0,5.3e-08,Hz,N/A,missing,87.0,1.0,1.0,13.0,BBH,N/A,N/A,N/A,N/A,no_reference_chirp_mass,30.55,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230622ba,[34065],1,N/A,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_distance;no_far,N/A,N/A - no luminosity distance extracted
S230618k,[33999],1,80.0,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_far,0.87,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230615i,[33965],1,78.0,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_far,0.84,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S231102i,[34930],1,13.0,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_far,0.1,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S231018cb,[34838],1,3.0,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_far,0.02,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230618d,[33998],1,65.0,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_far,0.68,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230616aa,[34004],1,46.0,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_far,0.45,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230615av,[33973],1,48.0,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_far,0.47,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230615ax,[33971],1,48.0,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_far,0.47,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S240107b,"[35493, 35496]",2,3890.0,2678.0,5102.0,5.8e-08,Hz,N/A,missing,97.0,1.0,1.0,3.0,BBH,N/A,N/A,N/A,N/A,no_reference_chirp_mass,92.09,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230620g,[34033],1,62.0,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_far,0.64,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230614t,[33962],1,69.0,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_far,0.73,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230615ak,[34002],1,52.0,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_far,0.52,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230814ah,"[34429, 34595]",2,405.0,281.0,529.0,1.8e-21,Hz,N/A,missing,99.0,1.0,1.0,1.0,BBH,N/A,N/A,N/A,N/A,no_reference_chirp_mass,6.1,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S231029y,"[34904, 34906, 34912]",3,3292.0,1979.0,4605.0,2.2e-10,Hz,N/A,missing,99.0,1.0,1.0,1.0,BBH,N/A,N/A,N/A,N/A,no_reference_chirp_mass,75.37,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230615z,[33981],1,N/A,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_distance;no_far,N/A,N/A - no luminosity distance extracted
S230615k,[33970],1,48.0,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_far,0.47,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230604z,[33912],1,39.0,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_far,0.37,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230830b,[34599],1,N/A,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_distance;no_far,N/A,N/A - no luminosity distance extracted
S230611be,[33952],1,72.0,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_far,0.77,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S231112ag,[35000],1,N/A,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_distance;no_far,N/A,N/A - no luminosity distance extracted
S230620af,[34037],1,59.0,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_far,0.6,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230619bb,[34028],1,66.0,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_far,0.69,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S231223j,"[35422, 35420]",2,4468.0,2866.0,6070.0,1.1e-09,Hz,N/A,missing,99.0,1.0,1.0,1.0,BBH,N/A,N/A,N/A,N/A,no_reference_chirp_mass,108.74,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230618s,[34010],1,73.0,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_far,0.78,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230702an,"[34150, 34136]",2,2428.0,1579.0,3277.0,1.5e-12,Hz,N/A,missing,99.0,1.0,1.0,1.0,BBH,N/A,N/A,N/A,N/A,no_reference_chirp_mass,52.31,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230609a,[33942],1,68.0,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_far,0.72,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S231005ah,"[34802, 34801]",2,3707.0,2372.0,5042.0,2e-09,Hz,N/A,missing,99.0,1.0,1.0,1.0,BBH,N/A,N/A,N/A,N/A,no_reference_chirp_mass,86.91,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230620al,[34038],1,73.0,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_far,0.78,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230608aw,[33945],1,73.0,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_far,0.78,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230614o,[33961],1,68.0,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_far,0.72,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230812aj,[34407],1,3.0,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_far,0.02,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
